,Unnamed: 0,Date,Offline_Spend,Online_Spend
0,0,2019-01-01,4500,2424
1,1,2019-01-02,4500,3480
2,2,2019-01-03,4500,1576
3,3,2019-01-04,4500,2928
4,4,2019-01-05,4500,4055
5,5,2019-01-06,4500,3796
6,6,2019-01-07,4500,2579
7,7,2019-01-08,5000,2551
8,8,2019-01-09,5000,3287
9,9,2019-01-10,5000,515
10,10,2019-01-11,5000,1757
11,11,2019-01-12,5000,2435
12,12,2019-01-13,5000,2449
13,13,2019-01-14,5000,1920
14,14,2019-01-15,3000,1734
15,15,2019-01-16,3000,3727
16,16,2019-01-17,3000,417
17,17,2019-01-18,3000,1312
18,18,2019-01-19,3000,2753
19,19,2019-01-20,3000,2073
20,20,2019-01-21,3000,640
21,21,2019-01-22,1000,1049
22,22,2019-01-23,1000,1356
23,23,2019-01-24,1000,560
24,24,2019-01-25,1000,1124
25,25,2019-01-26,1000,937
26,26,2019-01-27,1000,687
27,27,2019-01-28,1000,993
28,28,2019-01-29,700,836
29,29,2019-01-30,700,981
30,30,2019-01-31,700,1380
31,31,2019-02-01,700,692
32,32,2019-02-02,700,770
33,33,2019-02-03,700,2091
34,34,2019-02-04,700,2216
35,35,2019-02-05,3000,2486
36,36,2019-02-06,3000,1665
37,37,2019-02-07,3000,877
38,38,2019-02-08,3000,1973
39,39,2019-02-09,3000,2659
40,40,2019-02-10,3000,2037
41,41,2019-02-11,3000,2864
42,42,2019-02-12,3000,2844
43,43,2019-02-13,3000,2007
44,44,2019-02-14,3000,830
45,45,2019-02-15,3000,1738
46,46,2019-02-16,3000,3784
47,47,2019-02-17,3000,2107
48,48,2019-02-18,3000,1586
49,49,2019-02-19,3500,1720
50,50,2019-02-20,3500,2768
51,51,2019-02-21,3500,727
52,52,2019-02-22,3500,939
53,53,2019-02-23,3500,2548
54,54,2019-02-24,3500,2280
55,55,2019-02-25,3500,1469
56,56,2019-02-26,4000,1951
57,57,2019-02-27,4000,4349
58,58,2019-02-28,4000,1817
59,59,2019-03-01,4000,1880
60,60,2019-03-02,4000,1258
61,61,2019-03-03,4000,2066
62,62,2019-03-04,4000,642
63,63,2019-03-05,2500,1153
64,64,2019-03-06,2500,1827
65,65,2019-03-07,2500,2335
66,66,2019-03-08,2500,1918
67,67,2019-03-09,2500,1768
68,68,2019-03-10,2500,1294
69,69,2019-03-11,2500,973
70,70,2019-03-12,2000,731
71,71,2019-03-13,2000,1498
72,72,2019-03-14,2000,1141
73,73,2019-03-15,2000,1684
74,74,2019-03-16,2000,2435
75,75,2019-03-17,2000,1837
76,76,2019-03-18,2000,659
77,77,2019-03-19,2000,982
78,78,2019-03-20,2000,1542
79,79,2019-03-21,2000,2365
80,80,2019-03-22,2000,2523
81,81,2019-03-23,2000,1736
82,82,2019-03-24,2000,1984
83,83,2019-03-25,2000,931
84,84,2019-03-26,2000,1672
85,85,2019-03-27,2000,2639
86,86,2019-03-28,2000,1066
87,87,2019-03-29,2000,1330
88,88,2019-03-30,2000,692
89,89,2019-03-31,2000,2177
90,90,2019-04-01,2000,4019
